Kc_delta,Laminar,Re=2000,Re=3000,Re=5000,Re=10000,Re=infinity
0.43,1.11519852,0.50357842,0.48503793,0.4654128,0.44746294,0.3347709
0.44,1.11182528,0.50017888,0.48162752,0.4619832,0.44409616,0.3313336
0.45,1.108367,0.4966945,0.47813425,0.45847,0.4406415,0.3278125
0.46,1.10482368,0.49312528,0.47455812,0.4548732,0.43709896,0.3242076
0.47,1.10119532,0.48947122,0.47089913,0.4511928,0.43346854,0.3205189
0.48,1.09748192,0.48573232,0.46715728,0.4474288,0.42975024,0.3167464
0.49,1.09368348,0.48190858,0.46333257,0.4435812,0.42594406,0.3128901
0.5,1.0898,0.478,0.459425,0.43965,0.42205,0.30895
0.51,1.08583148,0.47400658,0.45543457,0.4356352,0.41806806,0.3049261
0.52,1.08177792,0.46992832,0.45136128,0.4315368,0.41399824,0.3008184
0.53,1.07763932,0.46576522,0.44720513,0.4273548,0.40984054,0.2966269
0.54,1.07341568,0.46151728,0.44296612,0.4230892,0.40559496,0.2923516
0.55,1.069107,0.4571845,0.43864425,0.41874,0.4012615,0.2879925
0.56,1.06471328,0.45276688,0.43423952,0.4143072,0.39684016,0.2835496
0.57,1.06023452,0.44826442,0.42975193,0.4097908,0.39233094,0.2790229
0.58,1.05567072,0.44367712,0.42518148,0.4051908,0.38773384,0.2744124
0.59,1.05102188,0.43900498,0.42052817,0.4005072,0.38304886,0.2697181
0.6,1.046288,0.434248,0.415792,0.39574,0.378276,0.26494
0.61,1.04146908,0.42940618,0.41097297,0.3908892,0.37341526,0.2600781
0.62,1.03656512,0.42447952,0.40607108,0.3859548,0.36846664,0.2551324
0.63,1.03157612,0.41946802,0.40108633,0.3809368,0.36343014,0.2501029
0.64,1.02650208,0.41437168,0.39601872,0.3758352,0.35830576,0.2449896
0.65,1.021343,0.4091905,0.39086825,0.37065,0.3530935,0.2397925
0.66,1.01609888,0.40392448,0.38563492,0.3653812,0.34779336,0.2345116
0.67,1.01076972,0.39857362,0.38031873,0.3600288,0.34240534,0.2291469
0.68,1.00535552,0.39313792,0.37491968,0.3545928,0.33692944,0.2236984
0.69,0.99985628,0.38761738,0.36943777,0.3490732,0.33136566,0.2181661
0.7,0.994272,0.382012,0.363873,0.34347,0.325714,0.21255
0.71,0.98860268,0.37632178,0.35822537,0.3377832,0.31997446,0.2068501
0.72,0.98284832,0.37054672,0.35249488,0.3320128,0.31414704,0.2010664
0.73,0.97700892,0.36468682,0.34668153,0.3261588,0.30823174,0.1951989
0.74,0.97108448,0.35874208,0.34078532,0.3202212,0.30222856,0.1892476
0.75,0.965075,0.3527125,0.33480625,0.3142,0.2961375,0.1832125
0.76,0.95898048,0.34659808,0.32874432,0.3080952,0.28995856,0.1770936
0.77,0.95280092,0.34039882,0.32259953,0.3019068,0.28369174,0.1708909
0.78,0.94653632,0.33411472,0.31637188,0.2956348,0.27733704,0.1646044
0.79,0.94018668,0.32774578,0.31006137,0.2892792,0.27089446,0.1582341
0.8,0.933752,0.321292,0.303668,0.28284,0.264364,0.15178
0.81,0.92723228,0.31475338,0.29719177,0.2763172,0.25774566,0.1452421
0.82,0.92062752,0.30812992,0.29063268,0.2697108,0.25103944,0.1386204
0.83,0.91393772,0.30142162,0.28399073,0.2630208,0.24424534,0.1319149
0.84,0.90716288,0.29462848,0.27726592,0.2562472,0.23736336,0.1251256
0.85,0.900303,0.2877505,0.27045825,0.24939,0.2303935,0.1182525
0.86,0.89335808,0.28078768,0.26356772,0.2424492,0.22333576,0.1112956
0.87,0.88632812,0.27374002,0.25659433,0.2354248,0.21619014,0.1042549
0.88,0.87921312,0.26660752,0.24953808,0.2283168,0.20895664,0.0971304
0.89,0.87201308,0.25939018,0.24239897,0.2211252,0.20163526,0.0899221
0.9,0.864728,0.252088,0.235177,0.21385,0.194226,0.08263
0.91,0.85735788,0.24470098,0.22787217,0.2064912,0.18672886,0.0752541
0.92,0.84990272,0.23722912,0.22048448,0.1990488,0.17914384,0.0677944
0.93,0.84236252,0.22967242,0.21301393,0.1915228,0.17147094,0.0602509
0.94,0.83473728,0.22203088,0.20546052,0.1839132,0.16371016,0.0526236
0.95,0.827027,0.2143045,0.19782425,0.17622,0.1558615,0.0449125
0.96,0.81923168,0.20649328,0.19010512,0.1684432,0.14792496,0.0371176
0.97,0.81135132,0.19859722,0.18230313,0.1605828,0.13990054,0.0292389
0.98,0.80338592,0.19061632,0.17441828,0.1526388,0.13178824,0.0212764
0.99,0.79533548,0.18255058,0.16645057,0.1446112,0.12358806,0.0132301
1,0.7872,0.1744,0.1584,0.1365,0.1153,0.0051
